iter	Passed	Remaining
1314	175397	1158422
1315	175530	1158290
1316	175661	1158142
1317	175795	1158007
1318	175920	1157819
1319	176051	1157669
1320	176193	1157597
1321	176318	1157406
1322	176449	1157260
1323	176580	1157112
1324	176724	1157047
1325	176862	1156940
1326	176992	1156787
1327	177131	1156688
1328	177267	1156571
1329	177394	1156401
1330	177528	1156268
1331	177656	1156103
1332	177783	1155929
1333	177924	1155839
1334	178056	1155700
1335	178189	1155564
1336	178334	1155504
1337	178480	1155453
1338	178627	1155409
1339	178753	1155228
1340	178886	1155094
1341	179020	1154960
1342	179165	1154906
1343	179299	1154776
1344	179434	1154649
1345	179560	1154468
1346	179696	1154351
1347	179824	1154183
1348	179950	1154002
1349	180086	1153888
1350	180216	1153731
1351	180354	1153627
1352	180480	1153448
1353	180603	1153248
1354	180726	1153051
1355	180863	1152938
1356	181000	1152825
1357	181145	1152767
1358	181271	1152587
1359	181399	1152418
1360	181536	1152312
1361	181664	1152143
1362	181795	1151992
1363	181927	1151849
1364	182059	1151708
1365	182197	1151605
1366	182320	1151405
1367	182450	1151253
1368	182588	1151147
1369	182718	1150991
1370	182851	1150857
1371	182985	1150730
1372	183126	1150642
1373	183260	1150512
1374	183392	1150371
1375	183531	1150270
1376	183668	1150163
1377	183807	1150062
1378	183943	1149945
1379	184063	1149727
1380	184200	1149619
1381	184336	1149503
1382	184464	1149337
1383	184610	1149279
1384	184758	1149236
1385	184898	1149143
1386	185034	1149029
1387	185179	1148968
1388	185312	1148830
1389	185439	1148658
1390	185569	1148504
1391	185704	1148381
1392	185833	1148220
1393	185963	1148061
1394	186088	1147879
1395	186222	1147750
1396	186373	1147725
1397	186501	1147558
1398	186639	1147449
1399	186780	1147366
1400	186911	1147220
1401	187041	1147065
1402	187170	1146900
1403	187305	1146780
1404	187427	1146573
1405	187567	1146481
1406	187704	1146373
1407	187835	1146224
1408	187962	1146052
1409	188096	1145918
1410	188231	1145795
1411	188356	1145613
1412	188485	1145452
1413	188626	1145367
1414	188747	1145156
1415	188885	1145052
1416	189018	1144914
1417	189146	1144748
1418	189276	1144596
1419	189403	1144423
1420	189536	1144288
1421	189660	1144098
1422	189806	1144039
1423	189942	1143924
1424	190069	1143750
1425	190208	1143651
1426	190336	1143488
1427	190465	1143324
1428	190596	1143178
1429	190737	1143092
1430	190870	1142954
1431	190999	1142797
1432	191128	1142639
1433	191266	1142532
1434	191406	1142436
1435	191533	1142266
1436	191666	1142128
1437	191794	1141965
1438	191932	1141856
1439	192062	1141704
1440	192201	1141604
1441	192335	1141473
1442	192463	1141311
1443	192594	1141162
1444	192725	1141016
1445	192859	1140882
1446	192995	1140764
1447	193130	1140645
1448	193270	1140546
1449	193398	1140385
1450	193546	1140334
1451	193679	1140203
1452	193791	1139940
1453	193921	1139787
1454	194062	1139700
1455	194190	1139534
1456	194324	1139402
1457	194453	1139247
1458	194585	1139106
1459	194726	1139017
1460	194859	1138878
1461	194995	1138761
1462	195127	1138620
1463	195262	1138499
1464	195391	1138340
1465	195521	1138186
1466	195654	1138051
1467	195777	1137854
1468	195903	1137683
1469	196038	1137554
1470	196170	1137413
1471	196298	1137249
1472	196430	1137112
1473	196557	1136942
1474	196686	1136783
1475	196819	1136646
1476	196953	1136518
1477	197090	1136403
1478	197216	1136229
1479	197344	1136063
1480	197477	1135930
1481	197615	1135821
1482	197751	1135702
1483	197890	1135603
1484	198026	1135488
1485	198162	1135366
1486	198298	1135248
1487	198433	1135127
1488	198568	1135000
1489	198705	1134890
1490	198839	1134761
1491	198977	1134650
1492	199108	1134506
1493	199249	1134416
